,area,shift 1,shift 2,shift 3,shift 4,shift 5,shift 6,shift 7,shift 8,shift 9,shift 10,shift 11,shift 12,shift 13,shift 14,shift 15,shift 16,shift 17,shift 18,shift 19,shift 20,shift 21,shift 22,shift 23,shift 24,shift 25,shift 26,shift 27,shift 28,shift 29,shift 30,shift 31,shift 32,shift 33,shift 34,shift 35,shift 36,labels
114,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,1,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,4
115,Saudi Arabia,0,0,0,0,0,1,5,5,7,8,8,8,8,8,4,5,5,5,5,5,5,5,5,5,2,0,1,5,5,5,5,5,-1,-1,-1,-1,3
116,Serbia,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,0
117,Singapore,0,0,0,0,1,5,7,8,8,8,8,4,5,5,7,4,5,5,5,2,0,0,0,0,0,0,0,1,5,2,0,0,0,-1,-1,-1,3
118,Slovakia,0,0,0,0,0,1,5,2,0,0,0,0,0,0,1,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,0
119,Slovenia,0,0,0,0,1,5,5,5,2,0,0,0,0,1,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,0
120,South Africa,0,0,0,0,0,0,0,1,5,5,5,7,8,8,8,8,4,5,5,5,5,5,5,7,8,8,8,8,4,5,5,5,-1,-1,-1,-1,0
121,Spain,0,0,0,1,7,8,8,4,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1
122,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,0
123,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,0,0,0,0,0,0,-1,-1,-1,-1,-1,4
124,Sweden,0,0,0,0,1,5,5,7,4,7,4,7,8,8,4,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,0
125,Switzerland,0,0,0,1,7,8,4,5,5,2,0,0,1,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,0
126,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,-1,-1,-1,-1,-1,4
127,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,7,8,8,8,8,8,8,8,8,8,8,4,5,7,-1,-1,-1,-1,-1,1
128,Turkey,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,0
129,US,0,0,0,0,1,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,1
130,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,2,0,0,0,0,0,-1,-1,-1,-1,-1,4
131,Ukraine,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,0
132,United Arab Emirates,0,0,0,0,0,1,5,5,7,8,8,4,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,1
133,United Kingdom,0,0,0,0,1,5,7,8,8,4,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,4,-1,-1,1
134,Uruguay,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,5,5,5,5,7,8,8,8,8,8,8,8,8,-1,-1,-1,-1,0
135,Uzbekistan,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,2,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,0
136,Venezuela,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,1
137,West Bank and Gaza,0,0,0,0,0,0,0,0,0,0,1,5,7,8,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1
138,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,2,0,0,0,0,0,0,1,5,7,8,8,4,5,5,5,-1,-1,-1,4
139,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,2,0,0,0,0,1,5,5,5,7,4,5,5,2,0,0,-1,-1,-1,-1,4
